title,url,created,state,whensent,category,lastupdate,latitude,longitude,ward,location
"Abandoned car in lane behind Kensington Place",https://www.fixmystreet.com/report/162084,"2011-02-05 12:35:54 UTC",confirmed,"2011-02-08 21:00:01 UTC","Abandoned vehicles","2011-05-19 19:12:12 UTC",51.39226302,-2.349643694,Walcot,"{""latitude"":51.39226302,""longitude"":-2.349643694,""geojson"":{""type"":""Point"",""coordinates"":[-2.349643694,51.39226302]}}"
Potholes,https://www.fixmystreet.com/report/93063,"2010-02-02 07:41:20 UTC",unconfirmed,,Potholes,"2010-02-02 07:41:20 UTC",51.35742348,-2.369082113,Lyncombe,"{""latitude"":51.35742348,""longitude"":-2.369082113,""geojson"":{""type"":""Point"",""coordinates"":[-2.369082113,51.35742348]}}"
"Incomplete removal of weeds",https://www.fixmystreet.com/report/358272,"2013-05-19 00:38:17 UTC","fixed - user","2013-05-19 00:40:09 UTC",Pavements/footpaths,"2013-06-03 16:31:42 UTC",51.389364,-2.366148,Kingsmead,"{""latitude"":51.389364,""longitude"":-2.366148,""geojson"":{""type"":""Point"",""coordinates"":[-2.366148,51.389364]}}"
"Flood lights not working",https://www.fixmystreet.com/report/588859,"2015-02-16 23:04:37 UTC",confirmed,"2015-02-16 23:05:16 UTC",Parks/landscapes,"2015-03-17 07:19:55 UTC",51.380136,-2.409212,Twerton,"{""latitude"":51.380136,""longitude"":-2.409212,""geojson"":{""type"":""Point"",""coordinates"":[-2.409212,51.380136]}}"
"Incorrect sign",https://www.fixmystreet.com/report/113911,"2010-05-10 23:21:37 UTC",confirmed,"2010-05-10 23:25:03 UTC","Road traffic signs","2010-08-03 14:43:50 UTC",51.37988736,-2.417240539,"Bathavon West","{""latitude"":51.37988736,""longitude"":-2.417240539,""geojson"":{""type"":""Point"",""coordinates"":[-2.417240539,51.37988736]}}"
"Overflowing recycling",https://www.fixmystreet.com/report/476218,"2014-05-19 14:03:49 UTC","fixed - user","2014-05-19 14:05:28 UTC","Rubbish (refuse and recycling)","2014-06-23 16:34:17 UTC",51.389237,-2.36365,Lansdown,"{""latitude"":51.389237,""longitude"":-2.36365,""geojson"":{""type"":""Point"",""coordinates"":[-2.36365,51.389237]}}"
"Norton-Radstock Greenway surface.",https://www.fixmystreet.com/report/288579,"2012-11-05 20:08:43 UTC","fixed - user","2012-11-05 20:10:14 UTC",Other,"2015-08-24 00:09:27 UTC",51.29327513,-2.469733058,"Midsomer Norton","{""latitude"":51.29327513,""longitude"":-2.469733058,""geojson"":{""type"":""Point"",""coordinates"":[-2.469733058,51.29327513]}}"
"Huge dip in road",https://www.fixmystreet.com/report/639262,"2015-05-26 15:29:26 UTC",confirmed,"2015-05-26 15:30:26 UTC",Potholes,"2015-05-26 15:30:26 UTC",51.380338,-2.362462,Abbey,"{""latitude"":51.380338,""longitude"":-2.362462,""geojson"":{""type"":""Point"",""coordinates"":[-2.362462,51.380338]}}"
"Road surface cracked and breaking up in centre",https://www.fixmystreet.com/report/536946,"2014-10-25 09:24:16 UTC",confirmed,"2014-10-25 09:25:16 UTC",Roads/highways,"2014-10-25 09:25:16 UTC",51.39995424,-2.470787384,Saltford,"{""latitude"":51.39995424,""longitude"":-2.470787384,""geojson"":{""type"":""Point"",""coordinates"":[-2.470787384,51.39995424]}}"
Potholes,https://www.fixmystreet.com/report/251358,"2012-05-15 00:22:15 UTC","fixed - user","2012-05-15 00:25:05 UTC",Potholes,"2012-06-16 13:38:02 UTC",51.393606,-2.304904,Bathford,"{""latitude"":51.393606,""longitude"":-2.304904,""geojson"":{""type"":""Point"",""coordinates"":[-2.304904,51.393606]}}"
"Car debris dumped",https://www.fixmystreet.com/report/107781,"2010-04-05 20:42:22 UTC",fixed,"2010-04-05 20:45:05 UTC",Flytipping,"2010-04-24 14:33:48 UTC",51.38808049,-2.39596109,Newbridge,"{""latitude"":51.38808049,""longitude"":-2.39596109,""geojson"":{""type"":""Point"",""coordinates"":[-2.39596109,51.38808049]}}"
"Concealed driveway sign obscured",https://www.fixmystreet.com/report/516851,"2014-08-28 20:12:41 UTC","fixed - user","2014-08-28 20:15:16 UTC",Roads/highways,"2014-09-15 09:59:51 UTC",51.39243042,-2.387487406,Weston,"{""latitude"":51.39243042,""longitude"":-2.387487406,""geojson"":{""type"":""Point"",""coordinates"":[-2.387487406,51.39243042]}}"
"Damaged/missing bin",https://www.fixmystreet.com/report/25,"2007-02-05 16:16:52 UTC",confirmed,"2007-02-05 19:38:44 UTC",Other,"2007-02-05 19:38:44 UTC",51.37370635,-2.34054385,Widcombe,"{""latitude"":51.37370635,""longitude"":-2.34054385,""geojson"":{""type"":""Point"",""coordinates"":[-2.34054385,51.37370635]}}"
"Pot holes",https://www.fixmystreet.com/report/435634,"2014-02-06 21:35:36 UTC","fixed - user","2014-02-06 21:40:10 UTC",Potholes,"2014-04-12 19:22:40 UTC",51.408906,-2.547663,Whitchurch,"{""latitude"":51.408906,""longitude"":-2.547663,""geojson"":{""type"":""Point"",""coordinates"":[-2.547663,51.408906]}}"
"Intermittent streetlight fault",https://www.fixmystreet.com/report/315171,"2013-01-30 22:45:47 UTC","fixed - user","2013-01-30 22:50:09 UTC","Street lighting","2013-03-28 08:30:40 UTC",51.371865,-2.400148,Southdown,"{""latitude"":51.371865,""longitude"":-2.400148,""geojson"":{""type"":""Point"",""coordinates"":[-2.400148,51.371865]}}"
"Footpath obstructed",https://www.fixmystreet.com/report/382113,"2013-08-25 15:20:57 UTC",confirmed,"2013-08-25 15:25:20 UTC",Pavements/footpaths,"2013-08-25 15:25:20 UTC",51.315847,-2.652087,"Compton Martin","{""latitude"":51.315847,""longitude"":-2.652087,""geojson"":{""type"":""Point"",""coordinates"":[-2.652087,51.315847]}}"
"Seriously flooded area",https://www.fixmystreet.com/report/37524,"2008-12-16 10:29:33 UTC",fixed,"2008-12-16 10:35:01 UTC",Potholes,"2009-01-13 11:40:38 UTC",51.34228653,-2.577651341,"Chew Valley South","{""latitude"":51.34228653,""longitude"":-2.577651341,""geojson"":{""type"":""Point"",""coordinates"":[-2.577651341,51.34228653]}}"
"Uneven road surface",https://www.fixmystreet.com/report/657828,"2015-07-06 12:40:54 UTC","fixed - user","2015-07-06 12:45:11 UTC",Potholes,"2015-08-03 13:08:06 UTC",51.301498,-2.454394,Radstock,"{""latitude"":51.301498,""longitude"":-2.454394,""geojson"":{""type"":""Point"",""coordinates"":[-2.454394,51.301498]}}"
"Dog mess on pavement",https://www.fixmystreet.com/report/259808,"2012-06-23 10:20:09 UTC","fixed - user","2012-06-23 10:25:09 UTC","Dog fouling","2012-07-22 21:21:34 UTC",51.389341,-2.366314,Kingsmead,"{""latitude"":51.389341,""longitude"":-2.366314,""geojson"":{""type"":""Point"",""coordinates"":[-2.366314,51.389341]}}"
"Sunday Car Boot Sale Parking PRoblems",https://www.fixmystreet.com/report/174768,"2011-03-21 15:44:44 UTC",confirmed,"2011-03-21 15:50:01 UTC",Roads/highways,"2011-03-21 15:50:01 UTC",51.42096115,-2.398514932,Charlcombe,"{""latitude"":51.42096115,""longitude"":-2.398514932,""geojson"":{""type"":""Point"",""coordinates"":[-2.398514932,51.42096115]}}"
"Street Light Not Working",https://www.fixmystreet.com/report/208607,"2011-10-20 23:23:51 UTC",confirmed,"2011-10-20 23:30:05 UTC","Street lighting","2011-10-20 23:30:05 UTC",51.39698849,-2.392181403,Weston,"{""latitude"":51.39698849,""longitude"":-2.392181403,""geojson"":{""type"":""Point"",""coordinates"":[-2.392181403,51.39698849]}}"
"Potholes on Eastbound Carriageway",https://www.fixmystreet.com/report/548235,"2014-11-21 13:02:53 UTC",confirmed,"2014-11-21 13:05:27 UTC",Potholes,"2014-11-21 13:05:27 UTC",51.36286598,-2.340223958,Widcombe,"{""latitude"":51.36286598,""longitude"":-2.340223958,""geojson"":{""type"":""Point"",""coordinates"":[-2.340223958,51.36286598]}}"
"Misleading lane guidance",https://www.fixmystreet.com/report/80159,"2009-11-16 14:53:19 UTC",confirmed,"2009-11-16 14:55:02 UTC",Roads/highways,"2010-02-08 19:48:05 UTC",51.42478472,-2.517025367,"Keynsham North","{""latitude"":51.42478472,""longitude"":-2.517025367,""geojson"":{""type"":""Point"",""coordinates"":[-2.517025367,51.42478472]}}"
"Pothole opposite bookers",https://www.fixmystreet.com/report/291220,"2012-11-16 13:59:09 UTC",confirmed,"2012-11-16 14:10:20 UTC","Public toilets","2012-11-16 14:10:20 UTC",51.381236,-2.381498,Westmoreland,"{""latitude"":51.381236,""longitude"":-2.381498,""geojson"":{""type"":""Point"",""coordinates"":[-2.381498,51.381236]}}"
"3 piece suite dumped",https://www.fixmystreet.com/report/328290,"2013-02-27 18:49:29 UTC","fixed - user","2013-02-27 18:55:09 UTC",Flytipping,"2013-03-27 20:17:19 UTC",51.42416952,-2.51894522,Keynsham,"{""latitude"":51.42416952,""longitude"":-2.51894522,""geojson"":{""type"":""Point"",""coordinates"":[-2.51894522,51.42416952]}}"
"Tree hanging over carriageway",https://www.fixmystreet.com/report/431662,"2014-01-31 23:58:31 UTC","fixed - user","2014-02-01 00:08:42 UTC",Trees,"2014-02-11 21:49:28 UTC",51.309946,-2.43922,"Peasedown St John","{""latitude"":51.309946,""longitude"":-2.43922,""geojson"":{""type"":""Point"",""coordinates"":[-2.43922,51.309946]}}"
"Blind corner, but wall is bulging out and hedges need cutting",https://www.fixmystreet.com/report/568964,"2015-01-13 12:06:34 UTC",confirmed,"2015-01-13 12:10:24 UTC",Pavements/footpaths,"2015-01-13 12:10:24 UTC",51.327771,-2.479627,Timsbury,"{""latitude"":51.327771,""longitude"":-2.479627,""geojson"":{""type"":""Point"",""coordinates"":[-2.479627,51.327771]}}"
"Grosvenor Place",https://www.fixmystreet.com/report/51335,"2009-03-31 09:38:14 UTC",unconfirmed,,"Rubbish (refuse and recycling)","2009-03-31 09:38:14 UTC",51.39407258,-2.345863048,Walcot,"{""latitude"":51.39407258,""longitude"":-2.345863048,""geojson"":{""type"":""Point"",""coordinates"":[-2.345863048,51.39407258]}}"
"Overhanging foliage",https://www.fixmystreet.com/report/390628,"2013-09-27 20:22:23 UTC","fixed - user","2013-09-27 20:25:15 UTC",Pavements/footpaths,"2013-10-07 07:48:07 UTC",51.28846052,-2.460481648,Westfield,"{""latitude"":51.28846052,""longitude"":-2.460481648,""geojson"":{""type"":""Point"",""coordinates"":[-2.460481648,51.28846052]}}"
"Redundant road signs",https://www.fixmystreet.com/report/416027,"2013-12-31 19:12:10 UTC",confirmed,"2013-12-31 19:15:09 UTC","Road traffic signs","2014-03-03 15:01:12 UTC",51.388012,-2.365509,Abbey,"{""latitude"":51.388012,""longitude"":-2.365509,""geojson"":{""type"":""Point"",""coordinates"":[-2.365509,51.388012]}}"
"Potholes - poor repair job",https://www.fixmystreet.com/report/102673,"2010-03-12 00:22:56 UTC",confirmed,"2010-03-12 00:25:09 UTC",Potholes,"2010-04-09 12:18:04 UTC",51.38813627,-2.366549606,Kingsmead,"{""latitude"":51.38813627,""longitude"":-2.366549606,""geojson"":{""type"":""Point"",""coordinates"":[-2.366549606,51.38813627]}}"
"Pothole on Breach Hill Common",https://www.fixmystreet.com/report/124421,"2010-07-13 16:20:08 UTC",fixed,"2010-07-13 16:25:02 UTC",Potholes,"2010-08-11 08:51:16 UTC",51.33500623,-2.662859552,"Chew Valley North","{""latitude"":51.33500623,""longitude"":-2.662859552,""geojson"":{""type"":""Point"",""coordinates"":[-2.662859552,51.33500623]}}"
"Where's the crossing?",https://www.fixmystreet.com/report/619106,"2015-04-10 09:32:06 UTC","fixed - user","2015-04-10 09:35:34 UTC",Roads/highways,"2015-07-08 09:38:56 UTC",51.388205,-2.361636,Lansdown,"{""latitude"":51.388205,""longitude"":-2.361636,""geojson"":{""type"":""Point"",""coordinates"":[-2.361636,51.388205]}}"
"Broken glass on steps",https://www.fixmystreet.com/report/558245,"2014-12-17 12:04:21 UTC","fixed - user","2014-12-17 12:05:32 UTC",Pavements/footpaths,"2015-04-23 09:29:05 UTC",51.38912578,-2.360085691,Lansdown,"{""latitude"":51.38912578,""longitude"":-2.360085691,""geojson"":{""type"":""Point"",""coordinates"":[-2.360085691,51.38912578]}}"
"Dangerous potholes",https://www.fixmystreet.com/report/140567,"2010-10-31 15:29:25 UTC",fixed,"2010-10-31 15:35:03 UTC",Potholes,"2010-11-28 20:04:56 UTC",51.42662753,-2.31534344,"St Catherine","{""latitude"":51.42662753,""longitude"":-2.31534344,""geojson"":{""type"":""Point"",""coordinates"":[-2.31534344,51.42662753]}}"
"A46 Poor Road Surface",https://www.fixmystreet.com/report/423280,"2014-01-16 07:47:17 UTC","fixed - user","2014-01-16 07:50:09 UTC",Roads/highways,"2014-02-06 22:26:26 UTC",51.426953,-2.356922,Swainswick,"{""latitude"":51.426953,""longitude"":-2.356922,""geojson"":{""type"":""Point"",""coordinates"":[-2.356922,51.426953]}}"
"Road Surface Degraded",https://www.fixmystreet.com/report/628872,"2015-05-01 16:34:31 UTC","fixed - user","2015-05-01 16:35:35 UTC",Potholes,"2015-06-02 21:18:29 UTC",51.394319,-2.397221,Newbridge,"{""latitude"":51.394319,""longitude"":-2.397221,""geojson"":{""type"":""Point"",""coordinates"":[-2.397221,51.394319]}}"
"Street sign graffiti now unreadable",https://www.fixmystreet.com/report/125,"2007-02-11 14:20:51 UTC",unconfirmed,,Other,"2007-02-11 14:20:51 UTC",51.4153245,-2.50770531,"Keynsham North","{""latitude"":51.4153245,""longitude"":-2.50770531,""geojson"":{""type"":""Point"",""coordinates"":[-2.50770531,51.4153245]}}"
"Broken up road surface",https://www.fixmystreet.com/report/468206,"2014-04-24 08:32:34 UTC",confirmed,"2014-04-24 08:35:10 UTC",Potholes,"2014-04-24 08:35:10 UTC",51.39993516,-2.470787384,Saltford,"{""latitude"":51.39993516,""longitude"":-2.470787384,""geojson"":{""type"":""Point"",""coordinates"":[-2.470787384,51.39993516]}}"
"Glass on cycle path",https://www.fixmystreet.com/report/240832,"2012-03-23 14:12:17 UTC","fixed - user","2012-03-23 14:15:08 UTC","Street cleaning","2012-05-11 10:24:52 UTC",51.424508,-2.5194,Keynsham,"{""latitude"":51.424508,""longitude"":-2.5194,""geojson"":{""type"":""Point"",""coordinates"":[-2.5194,51.424508]}}"
"Burning waste",https://www.fixmystreet.com/report/54020,"2009-04-16 21:39:43 UTC",confirmed,"2009-04-16 21:50:04 UTC",Other,"2009-04-16 21:50:04 UTC",51.29377067,-2.43802425,Radstock,"{""latitude"":51.29377067,""longitude"":-2.43802425,""geojson"":{""type"":""Point"",""coordinates"":[-2.43802425,51.29377067]}}"
"Obscured by foilage",https://www.fixmystreet.com/report/113650,"2010-05-09 01:03:42 UTC",fixed,"2010-05-09 01:05:04 UTC","Road traffic signs","2010-06-06 01:37:01 UTC",51.35564203,-2.54052167,Clutton,"{""latitude"":51.35564203,""longitude"":-2.54052167,""geojson"":{""type"":""Point"",""coordinates"":[-2.54052167,51.35564203]}}"
"Dead rotting badger needs removing - health risk",https://www.fixmystreet.com/report/187418,"2011-06-01 19:15:30 UTC",confirmed,"2011-06-01 19:55:01 UTC",Other,"2011-06-01 19:55:01 UTC",51.292327,-2.452967,Norton-Radstock,"{""latitude"":51.292327,""longitude"":-2.452967,""geojson"":{""type"":""Point"",""coordinates"":[-2.452967,51.292327]}}"
"Road markings worn away",https://www.fixmystreet.com/report/468215,"2014-04-24 08:44:44 UTC",confirmed,"2014-04-24 08:45:16 UTC",Roads/highways,"2014-04-24 08:45:16 UTC",51.42488176,-2.516556598,Keynsham,"{""latitude"":51.42488176,""longitude"":-2.516556598,""geojson"":{""type"":""Point"",""coordinates"":[-2.516556598,51.42488176]}}"
"Badger Carcass",https://www.fixmystreet.com/report/235486,"2012-03-01 12:34:45 UTC","fixed - user","2012-03-01 12:35:09 UTC","Rubbish (refuse and recycling)","2012-03-29 16:22:38 UTC",51.416732,-2.44102,"North Stoke","{""latitude"":51.416732,""longitude"":-2.44102,""geojson"":{""type"":""Point"",""coordinates"":[-2.44102,51.416732]}}"
"Blocked footpath",https://www.fixmystreet.com/report/373472,"2013-07-18 16:47:32 UTC","fixed - user","2013-07-18 16:50:09 UTC",Pavements/footpaths,"2013-08-15 17:53:25 UTC",51.37570798,-2.391419888,Twerton,"{""latitude"":51.37570798,""longitude"":-2.391419888,""geojson"":{""type"":""Point"",""coordinates"":[-2.391419888,51.37570798]}}"
"Flooded road",https://www.fixmystreet.com/report/283608,"2012-10-12 12:47:48 UTC",confirmed,"2012-10-12 12:50:10 UTC",Roads/highways,"2012-11-09 21:26:01 UTC",51.393439,-2.385369,Weston,"{""latitude"":51.393439,""longitude"":-2.385369,""geojson"":{""type"":""Point"",""coordinates"":[-2.385369,51.393439]}}"
"Sunken manhole cover",https://www.fixmystreet.com/report/354068,"2013-05-02 08:54:35 UTC","fixed - user","2013-05-02 08:55:32 UTC",Roads/highways,"2015-01-25 17:04:48 UTC",51.39462511,-2.3896735,Newbridge,"{""latitude"":51.39462511,""longitude"":-2.3896735,""geojson"":{""type"":""Point"",""coordinates"":[-2.3896735,51.39462511]}}"
"Water Leak",https://www.fixmystreet.com/report/122863,"2010-07-04 17:51:12 UTC",confirmed,"2010-07-04 17:55:03 UTC",Other,"2010-07-04 17:55:03 UTC",51.39058635,-2.360837986,Lansdown,"{""latitude"":51.39058635,""longitude"":-2.360837986,""geojson"":{""type"":""Point"",""coordinates"":[-2.360837986,51.39058635]}}"
"Street light not working",https://www.fixmystreet.com/report/384548,"2013-09-05 08:22:53 UTC",confirmed,"2013-09-05 08:30:38 UTC","Street lighting","2013-09-05 08:30:38 UTC",51.3053778,-2.511101016,Paulton,"{""latitude"":51.3053778,""longitude"":-2.511101016,""geojson"":{""type"":""Point"",""coordinates"":[-2.511101016,51.3053778]}}"
"Wrong road markings",https://www.fixmystreet.com/report/96783,"2010-02-18 23:51:45 UTC",unconfirmed,,"Road traffic signs","2010-02-18 23:51:45 UTC",51.42476156,-2.514504404,"Keynsham North","{""latitude"":51.42476156,""longitude"":-2.514504404,""geojson"":{""type"":""Point"",""coordinates"":[-2.514504404,51.42476156]}}"
"More than 3 potholes",https://www.fixmystreet.com/report/344694,"2013-04-06 12:04:54 UTC",confirmed,"2013-04-06 12:05:10 UTC",Potholes,"2013-04-06 12:05:10 UTC",51.400712,-2.456497,Saltford,"{""latitude"":51.400712,""longitude"":-2.456497,""geojson"":{""type"":""Point"",""coordinates"":[-2.456497,51.400712]}}"
Potholes,https://www.fixmystreet.com/report/594408,"2015-02-25 18:08:33 UTC",confirmed,"2015-02-25 18:10:35 UTC",Potholes,"2015-02-25 18:10:35 UTC",51.409077,-2.395636,Charlcombe,"{""latitude"":51.409077,""longitude"":-2.395636,""geojson"":{""type"":""Point"",""coordinates"":[-2.395636,51.409077]}}"
"Adandoned car",https://www.fixmystreet.com/report/462915,"2014-04-06 20:21:09 UTC","fixed - user","2014-04-06 20:25:11 UTC","Abandoned vehicles","2014-05-18 20:39:31 UTC",51.31077765,-2.424113857,"Peasedown St John","{""latitude"":51.31077765,""longitude"":-2.424113857,""geojson"":{""type"":""Point"",""coordinates"":[-2.424113857,51.31077765]}}"
